id;servicio;marca;modelo;situacion;estado;kms;tipo;kilometraje
"https://www.zaragoza.es/sede/servicio/vehiculo/317";"M Ambiente y sostenibilidad";"Nissan";"Terrano";"PROPIEDAD";"ALTA";"13775";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/33";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//955,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1591,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//317"
"https://www.zaragoza.es/sede/servicio/vehiculo/318";"M Ambiente y sostenibilidad";"Nissan";"Terrano";"PROPIEDAD";"ALTA";"14914";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/33";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1592,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//318,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//956"
"https://www.zaragoza.es/sede/servicio/vehiculo/319";"M Ambiente y sostenibilidad";"Nissan";"Navara";"PROPIEDAD";"ALTA";"28139";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/44";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1593,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//957,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//319"
"https://www.zaragoza.es/sede/servicio/vehiculo/320";"M Ambiente y sostenibilidad";"Nissan";"Navara";"PROPIEDAD";"ALTA";"21526";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/44";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//320,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//958,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1594"
"https://www.zaragoza.es/sede/servicio/vehiculo/321";"M Ambiente y sostenibilidad";"Opel";"Corsa";"PROPIEDAD";"ALTA";"4026";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//321,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1595,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//959"
"https://www.zaragoza.es/sede/servicio/vehiculo/322";"M Ambiente y sostenibilidad";"Nissan";"Navara";"PROPIEDAD";"ALTA";"12674";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/44";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//322,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1596,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//960"
"https://www.zaragoza.es/sede/servicio/vehiculo/323";"Medio Ambiente";"Opel";"Frontera ";"PROPIEDAD";"ALTA";"415";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/33";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1597,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//961,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//323"
"https://www.zaragoza.es/sede/servicio/vehiculo/324";"Medio Ambiente";"Opel";"Corsa";"PROPIEDAD";"ALTA";"3364";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1598,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//324,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//962"
"https://www.zaragoza.es/sede/servicio/vehiculo/325";"Medio Ambiente";"Opel";"Corsa";"PROPIEDAD";"ALTA";"8713";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//963,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//325,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1599"
"https://www.zaragoza.es/sede/servicio/vehiculo/326";"Medio Ambiente";"Opel";"Combo";"PROPIEDAD";"ALTA";"5106";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//964,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//326,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1600"
"https://www.zaragoza.es/sede/servicio/vehiculo/327";"Movilidad Urbana";"Opel";"Corsa";"PROPIEDAD";"ALTA";"4415";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//965,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1601,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//327"
"https://www.zaragoza.es/sede/servicio/vehiculo/328";"Movilidad Urbana";"Opel";"Corsa";"PROPIEDAD";"ALTA";"7329";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//966,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//328,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1602"
"https://www.zaragoza.es/sede/servicio/vehiculo/329";"Movilidad Urbana";"Opel";"Corsa";"PROPIEDAD";"ALTA";"2531";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1603,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//329,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//967"
"https://www.zaragoza.es/sede/servicio/vehiculo/330";"Movilidad Urbana";"Opel";"Corsa";"PROPIEDAD";"ALTA";"2634";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1604,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//968,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//330"
"https://www.zaragoza.es/sede/servicio/vehiculo/331";"Movilidad Urbana";"Opel";"Corsa";"PROPIEDAD";"ALTA";"8635";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//331,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1605,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//969"
"https://www.zaragoza.es/sede/servicio/vehiculo/332";"Movilidad Urbana";"Opel";"Corsa";"PROPIEDAD";"ALTA";"6798";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1606,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//332,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//970"
"https://www.zaragoza.es/sede/servicio/vehiculo/333";"Movilidad Urbana";"Opel";"Corsa";"PROPIEDAD";"ALTA";"6644";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//971,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1607,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//333"
"https://www.zaragoza.es/sede/servicio/vehiculo/334";"Nave Carretera Logroño";"Carterpillar";"F30";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/11";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//334,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//972,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1608"
"https://www.zaragoza.es/sede/servicio/vehiculo/335";"P Ballet Clásico";"Volvo";"FL611/CH-52";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/34";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//335,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//973,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1609"
"https://www.zaragoza.es/sede/servicio/vehiculo/336";"Parque de Tracción";"Renault";"S-16009";"PROPIEDAD";"ALTA";"4557";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/24";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1610,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//336,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//974"
"https://www.zaragoza.es/sede/servicio/vehiculo/337";"Parque de Tracción";"Renault";"M180-12C";"PROPIEDAD";"ALTA";"7405";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/30";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//975,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//337,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1611"
"https://www.zaragoza.es/sede/servicio/vehiculo/338";"Parque de Tracción";"Mercedes";"108-CDI";"PROPIEDAD";"ALTA";"3423";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1612,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//338,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//976"
"https://www.zaragoza.es/sede/servicio/vehiculo/339";"Parque de Tracción";"Renault";"210-13C";"PROPIEDAD";"ALTA";"3620";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/30";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1613,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//977,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//339"
"https://www.zaragoza.es/sede/servicio/vehiculo/340";"Parque de Tracción";"Mercedes";"108-CDI";"PROPIEDAD";"ALTA";"11320";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//340,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//978,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1614"
"https://www.zaragoza.es/sede/servicio/vehiculo/341";"Parque de Tracción";"Opel";"Corsa";"PROPIEDAD";"ALTA";"4707";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1615,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//979,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//341"
